Entreprise Américaine
"JD.COM, INC."
HUMANA INC.
MCKESSON CORPORATION
"BAIDU, INC."
UNITEDHEALTH GROUP INC.
"NETEASE, INC."
PINDUODUO INC.
"PALO ALTO NETWORKS, INC."
SCHLUMBERGER LIMITED
SYNOPSYS INC.
"META PLATFORMS, INC."
"CISCO SYSTEMS, INC."
NVIDIA CORPORATION
WORKDAY INC.
"SERVICENOW, INC."
BOOKING HOLDINGS INC.
"ARISTA NETWORKS, INC."
"INTUITIVE SURGICAL, INC."
ADOBE INC.
"MERCADOLIBRE, INC."
"SALESFORCE.COM, INC."
"FORTINET, INC."
"CADENCE DESIGN SYSTEMS, INC."
"AIRBNB, INC."
CIGNA CORPORATION
COSTCO WHOLESALE CORPORATION
GENERAL MOTORS COMPANY
"UBER TECHNOLOGIES, INC."
"CHIPOTLE MEXICAN GRILL, INC."
STARBUCKS CORPORATION
MONSTER BEVERAGE CORPORATION
"O'REILLY AUTOMOTIVE, INC"
INTUIT INC.
ALPHABET INC.
FERRARI N.V.
MICROSOFT CORPORATION
"PAYPAL HOLDINGS, INC."
CINTAS CORPORATION
"AUTOMATIC DATA PROCESSING, INC."
SHOPIFY INC.
"VISA, INC."
"BLACKROCK, INC."
"PHILIP MORRIS INTERNATIONAL, INC."
BROADCOM INC.
MARATHON PETROLEUM CORPORATION
EDWARDS LIFESCIENCES CORPORATION
"NETFLIX, INC."
VERTEX PHARMACEUTICALS INCORPORAT..
"MASTERCARD, INC."
"MARRIOTT INTERNATIONAL, INC."
